Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D10.0mm_P5.00mm,1,1000µF 16V,
D1,D_DO-41_SOD81_P10.16mm_Horizontal,1,D,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
J1,PinSocket_1x05_P2.54mm_Vertical,1,Conn_01x05,
J2,PinSocket_1x03_P2.54mm_Vertical,1,Conn_01x03,
J3,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,ZHO-0420S-05A4.5(5V),
J4,PinSocket_1x04_P2.54mm_Vertical,1,ディスプレイモジュール,
Q1,TO-251-3_Vertical,1,2SK4017,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,10k,
TP1,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,5V,
TP2,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,3.3V,
TP3,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,GND,
TP4,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,SDA,
TP5,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,SCL,
TP6,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,GATE,
U1,RPi_Pico_SMD_TH,1,Pico,
